Date/Time,Word Count,en,ru
2024.08.28-22.03.47,0,0,0
2024.08.28-22.18.01,213,213,0
2024.08.28-22.22.43,79,79,0
2024.08.28-22.29.09,71,71,0
2024.08.28-22.41.26,71,71,71
2024.08.31-23.14.53,74,74,71
2024.08.31-23.17.13,74,74,74
2024.09.03-08.14.32,77,77,72
2024.09.03-08.16.40,76,76,76
2024.09.08-13.27.07,92,92,76
2024.09.08-13.29.10,92,92,91
2024.09.15-20.46.29,120,120,87
2024.09.15-20.49.57,120,120,120
2024.10.11-12.22.42,201,201,120
2024.10.11-12.28.33,192,192,157
2024.10.11-12.31.56,189,189,182
2024.10.11-12.35.17,180,180,180
2024.10.17-23.08.12,335,335,180
2024.10.17-23.12.03,327,327,326
2024.10.17-23.14.56,327,327,327
2024.10.22-23.10.26,424,424,321
2024.10.22-23.13.54,331,331,324
2024.10.22-23.16.16,328,328,324
2024.10.22-23.17.53,328,328,328
2024.10.26-21.04.37,353,353,328
2024.10.26-21.07.49,353,353,353
2025.01.04-01.23.28,233,233,199
2025.01.04-01.27.28,234,234,206
2025.01.04-01.33.42,440,440,216
2025.01.04-01.42.34,440,440,439
2025.01.04-02.00.45,445,445,439
2025.01.04-02.01.47,445,445,444
2025.01.04-13.51.29,445,445,445
